6 29 0
 14 2 0
 54 18 0
 15 58 0
 10 12 0
 7 0 0
 1 4 0
 4 22 0
 29 46 0
 36 26 0
 17 8 0
 17 10 0
 3 4 0
 9 8 0
 62 6 0
 24 18 0
 2 22 0
 0 10 0
 6 17 0
 11 10 0
 4 25 0
 53 21 0
 21 34 0
 21 26 0
 33 1 0
 0 3 0
 8 21 0
 58 2 0
 28 13 0
 17 30 0
 1 2 0
 6 12 0
 39 23 0
 1 41 0
 31 13 0
 25 43 0
 7 8 0
 16 17 0
 25 23 0
 6 18 0
 25 11 0
 14 29 0
 23 19 0
 13 8 0
 7 9 0
 8 34 0
 29 18 0
 13 32 0
 15 12 0
 0 6 0
 4 19 0
 10 3 0
 18 3 0
 2 11 0
 40 31 0
 6 18 0
 56 35 0
 38 2 0
 69 40 0
 43 31 0
 9 23 0
 7 5 0
 10 4 0
 1 16 0
 14 31 0
 6 3 0
 12 31 0
 0 13 0
 6 20 0
 9 22 0
 10 3 0
 20 21 0
 5 13 0
 1 11 0
 17 4 0
 12 18 0
 34 9 0
 2 18 0
 4 5 0
 1 27 0
 11 5 0
 10 26 0
 18 5 0
 4 19 0
 5 32 0
 2 52 0
 21 24 0
 23 6 0
 12 5 0
 4 14 0
 21 31 0
 2 18 0
 6 8 0
 38 16 0
 4 19 0
 7 8 0
 9 10 0
 39 2 0
 16 25 0
 38 28 0


